"","Seconds_Remaining","Lives","Views","Comments","Damage_Taken","Kills","Deaths","Time","PDamLL","Winp","TWins","GAttack","AAttack","Combo","Block","Style","AABase","AAAdd","AAMax","ASpeed","FSReg","FSFast","FSpInc","Gravity","JHeight_FH","JHeight_SH","JHeight_Air","JDur_SH","JDur_FH","JDur_SHFF","JDur_FHFF","Weight","WSpeed","IDash","RSpeed","DashFr","PDashFr","NAD_Start","NAD_Intang","NAD_Tot","BR_Start","BR_Intang","BR_Tot","FR_Start","FR_Intang","FR_Tot","Grab"
"Seconds_Remaining",1,NA,0.353184147462923,0.09380181580921,0.0833181382625651,0.0648699447401284,-0.424661123816698,1,0.0217655668338862,0.282797629054729,0.223981038099621,-0.6749172941291,-0.592609305766486,0.0664734659062426,-0.466958527569082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lives",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Views",0.353184147462923,NA,1,0.605932181462328,0.0232876175621947,0.295975710086643,-0.161407205189554,0.353184147462923,-0.0800300600926641,0.207837498977886,0.262343827116392,-0.254283946120929,-0.162734853471734,0.0772421934414918,-0.131205938655034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comments",0.09380181580921,NA,0.605932181462328,1,0.299656186905768,0.0497778275636716,0.0495427886339723,0.09380181580921,0.169770172824394,-0.0130172947509293,-0.0227939886379392,-0.210541794428633,-0.247906271818642,-0.0762521313982634,0.100482348744675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Damage_Taken",0.0833181382625651,NA,0.0232876175621947,0.299656186905768,1,-0.359030943629915,0.180294298050717,0.0833181382625651,0.775794592673549,-0.248117255821652,-0.386642788280635,-0.0652515841775432,-0.11183467212061,-0.0574850702342388,0.288767915916117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kills",0.0648699447401284,NA,0.295975710086643,0.0497778275636716,-0.359030943629915,1,-0.797103157679985,0.0648699447401284,-0.490837667804783,0.92090500999769,0.901819276961163,0.080173016408477,0.113315574839007,0.152683314283675,-0.312631961459897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Deaths",-0.424661123816698,NA,-0.161407205189554,0.0495427886339723,0.180294298050717,-0.797103157679985,1,-0.424661123816698,0.309849360448026,-0.957187688024779,-0.883883476483185,0.200067019526588,0.11198438344875,-0.0399057807043205,0.460973800967484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Time",1,NA,0.353184147462923,0.09380181580921,0.0833181382625651,0.0648699447401284,-0.424661123816698,1,0.0217655668338862,0.282797629054729,0.223981038099621,-0.6749172941291,-0.592609305766486,0.0664734659062426,-0.466958527569082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PDamLL",0.0217655668338862,NA,-0.0800300600926641,0.169770172824394,0.775794592673549,-0.490837667804783,0.309849360448026,0.0217655668338862,1,-0.378578275869791,-0.497125022701987,-0.230273347403362,-0.149554325339746,-0.181191298479244,0.282985001948143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Winp",0.282797629054729,NA,0.207837498977886,-0.0130172947509293,-0.248117255821652,0.92090500999769,-0.957187688024779,0.282797629054729,-0.378578275869791,1,0.895952795201363,-0.0846084751778235,-0.0265491466056577,0.0910462224349322,-0.409629562192303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
